Timestamp,time_zone_offset,Demand (MW),Network Group Name,Nominal Voltage,Firm Capacity,Capacity Overload,MWh,10,2515
2024-09-29T05:30:00+01:00,1,4.938,Monktonhall,HV,10,0,0,,
2024-09-29T06:00:00+01:00,1,4.938,Monktonhall,HV,10,0,0,,
2024-09-29T06:30:00+01:00,1,4.802,Monktonhall,HV,10,0,0,,
2024-09-29T07:00:00+01:00,1,4.856,Monktonhall,HV,10,0,0,,
2024-09-29T07:30:00+01:00,1,5.088,Monktonhall,HV,10,0,0,,
2024-09-29T08:00:00+01:00,1,5.157,Monktonhall,HV,10,0,0,,
2024-09-29T08:30:00+01:00,1,5.577,Monktonhall,HV,10,0,0,,
2024-09-29T09:00:00+01:00,1,5.891,Monktonhall,HV,10,0,0,,
2024-09-29T09:30:00+01:00,1,6.308,Monktonhall,HV,10,0,0,,
2024-09-29T10:00:00+01:00,1,6.869,Monktonhall,HV,10,0,0,,
2024-09-29T10:30:00+01:00,1,7.083,Monktonhall,HV,10,0,0,,
2024-09-29T11:00:00+01:00,1,7.51,Monktonhall,HV,10,0,0,,
2024-09-29T11:30:00+01:00,1,8.006,Monktonhall,HV,10,0,0,,
2024-09-29T12:00:00+01:00,1,8.146,Monktonhall,HV,10,0,0,,
2024-09-29T12:30:00+01:00,1,8.199,Monktonhall,HV,10,0,0,,
2024-09-29T13:00:00+01:00,1,8.398,Monktonhall,HV,10,0,0,,
2024-09-29T13:30:00+01:00,1,8.584,Monktonhall,HV,10,0,0,,
2024-09-29T14:00:00+01:00,1,8.686,Monktonhall,HV,10,0,0,,
2024-09-29T14:30:00+01:00,1,8.624,Monktonhall,HV,10,0,0,,
2024-09-29T15:00:00+01:00,1,8.494,Monktonhall,HV,10,0,0,,
2024-09-29T15:30:00+01:00,1,8.494,Monktonhall,HV,10,0,0,,
2024-09-29T16:00:00+01:00,1,8.449,Monktonhall,HV,10,0,0,,
2024-09-29T16:30:00+01:00,1,8.555,Monktonhall,HV,10,0,0,,
2024-09-29T17:00:00+01:00,1,8.223,Monktonhall,HV,10,0,0,,
2024-09-29T17:30:00+01:00,1,8.5,Monktonhall,HV,10,0,0,,
2024-09-29T18:00:00+01:00,1,8.851,Monktonhall,HV,10,0,0,,
2024-09-29T18:30:00+01:00,1,9.229,Monktonhall,HV,10,0,0,,
2024-09-29T19:00:00+01:00,1,9.981,Monktonhall,HV,10,0,0,,
2024-09-29T19:30:00+01:00,1,10.225,Monktonhall,HV,10,-0.225,-0.1125,,
2024-09-29T20:00:00+01:00,1,10.266,Monktonhall,HV,10,-0.266,-0.133,,
2024-09-29T20:30:00+01:00,1,9.861,Monktonhall,HV,10,0,0,,
2024-09-29T21:00:00+01:00,1,9.575,Monktonhall,HV,10,0,0,,
2024-09-29T21:30:00+01:00,1,9.415,Monktonhall,HV,10,0,0,,
2024-09-29T22:00:00+01:00,1,8.778,Monktonhall,HV,10,0,0,,
2024-09-29T22:30:00+01:00,1,8.297,Monktonhall,HV,10,0,0,,
2024-09-29T23:00:00+01:00,1,7.464,Monktonhall,HV,10,0,0,,
2024-09-29T23:30:00+01:00,1,7.171,Monktonhall,HV,10,0,0,,
2024-09-30T00:00:00+01:00,1,6.668,Monktonhall,HV,10,0,0,,
2024-09-30T00:30:00+01:00,1,5.938,Monktonhall,HV,10,0,0,,
2024-09-30T01:00:00+01:00,1,5.796,Monktonhall,HV,10,0,0,,
2024-09-30T01:30:00+01:00,1,5.75,Monktonhall,HV,10,0,0,,
2024-09-30T02:00:00+01:00,1,5.671,Monktonhall,HV,10,0,0,,
2024-09-30T02:30:00+01:00,1,5.537,Monktonhall,HV,10,0,0,,
2024-09-30T03:00:00+01:00,1,5.435,Monktonhall,HV,10,0,0,,
2024-09-30T03:30:00+01:00,1,5.374,Monktonhall,HV,10,0,0,,
2024-09-30T04:00:00+01:00,1,5.239,Monktonhall,HV,10,0,0,,
2024-09-30T04:30:00+01:00,1,5.195,Monktonhall,HV,10,0,0,,
2024-09-30T05:00:00+01:00,1,5.064,Monktonhall,HV,10,0,0,,
2024-06-04T05:30:00+01:00,1,4.77,Monktonhall,HV,10,0,0,,
2024-06-04T06:00:00+01:00,1,4.674,Monktonhall,HV,10,0,0,,
2024-06-04T06:30:00+01:00,1,4.757,Monktonhall,HV,10,0,0,,
2024-06-04T07:00:00+01:00,1,4.86,Monktonhall,HV,10,0,0,,
2024-06-04T07:30:00+01:00,1,5.31,Monktonhall,HV,10,0,0,,
2024-06-04T08:00:00+01:00,1,6.091,Monktonhall,HV,10,0,0,,
2024-06-04T08:30:00+01:00,1,6.506,Monktonhall,HV,10,0,0,,
2024-06-04T09:00:00+01:00,1,7.479,Monktonhall,HV,10,0,0,,
2024-06-04T09:30:00+01:00,1,7.96,Monktonhall,HV,10,0,0,,
2024-06-04T10:00:00+01:00,1,8.215,Monktonhall,HV,10,0,0,,
2024-06-04T10:30:00+01:00,1,8.446,Monktonhall,HV,10,0,0,,
2024-06-04T11:00:00+01:00,1,8.618,Monktonhall,HV,10,0,0,,
2024-06-04T11:30:00+01:00,1,8.58,Monktonhall,HV,10,0,0,,
2024-06-04T12:00:00+01:00,1,8.68,Monktonhall,HV,10,0,0,,
2024-06-04T12:30:00+01:00,1,8.68,Monktonhall,HV,10,0,0,,
2024-06-04T13:00:00+01:00,1,8.449,Monktonhall,HV,10,0,0,,
2024-06-04T13:30:00+01:00,1,8.872,Monktonhall,HV,10,0,0,,
2024-06-04T14:00:00+01:00,1,8.884,Monktonhall,HV,10,0,0,,
2024-06-04T14:30:00+01:00,1,8.172,Monktonhall,HV,10,0,0,,
2024-06-04T15:00:00+01:00,1,8.053,Monktonhall,HV,10,0,0,,
2024-06-04T15:30:00+01:00,1,7.915,Monktonhall,HV,10,0,0,,
2024-06-04T16:00:00+01:00,1,7.692,Monktonhall,HV,10,0,0,,
2024-06-04T16:30:00+01:00,1,7.507,Monktonhall,HV,10,0,0,,
2024-06-04T17:00:00+01:00,1,7.677,Monktonhall,HV,10,0,0,,
2024-06-04T17:30:00+01:00,1,8.259,Monktonhall,HV,10,0,0,,
2024-06-04T18:00:00+01:00,1,8.382,Monktonhall,HV,10,0,0,,
2024-06-04T18:30:00+01:00,1,8.917,Monktonhall,HV,10,0,0,,
2024-06-04T19:00:00+01:00,1,9.296,Monktonhall,HV,10,0,0,,
2024-06-04T19:30:00+01:00,1,9.296,Monktonhall,HV,10,0,0,,
2024-06-04T20:00:00+01:00,1,9.08,Monktonhall,HV,10,0,0,,
2024-06-04T20:30:00+01:00,1,8.788,Monktonhall,HV,10,0,0,,
2024-06-04T21:00:00+01:00,1,8.634,Monktonhall,HV,10,0,0,,
2024-06-04T21:30:00+01:00,1,8.56,Monktonhall,HV,10,0,0,,
2024-06-04T22:00:00+01:00,1,8.543,Monktonhall,HV,10,0,0,,
2024-06-04T22:30:00+01:00,1,8.138,Monktonhall,HV,10,0,0,,
2024-06-04T23:00:00+01:00,1,7.89,Monktonhall,HV,10,0,0,,
2024-06-04T23:30:00+01:00,1,7.499,Monktonhall,HV,10,0,0,,
2024-06-05T00:00:00+01:00,1,7.12,Monktonhall,HV,10,0,0,,
2024-06-05T00:30:00+01:00,1,6.612,Monktonhall,HV,10,0,0,,
2024-06-05T01:00:00+01:00,1,6.101,Monktonhall,HV,10,0,0,,
2024-06-05T01:30:00+01:00,1,5.975,Monktonhall,HV,10,0,0,,
2024-06-05T02:00:00+01:00,1,5.528,Monktonhall,HV,10,0,0,,
2024-06-05T02:30:00+01:00,1,5.318,Monktonhall,HV,10,0,0,,
2024-06-05T03:00:00+01:00,1,4.959,Monktonhall,HV,10,0,0,,
2024-06-05T03:30:00+01:00,1,4.999,Monktonhall,HV,10,0,0,,
2024-06-05T04:00:00+01:00,1,4.883,Monktonhall,HV,10,0,0,,
2024-06-05T04:30:00+01:00,1,4.924,Monktonhall,HV,10,0,0,,
2024-06-05T05:00:00+01:00,1,5.014,Monktonhall,HV,10,0,0,,
2024-06-05T05:30:00+01:00,1,4.937,Monktonhall,HV,10,0,0,,
2024-06-05T06:00:00+01:00,1,4.751,Monktonhall,HV,10,0,0,,
2024-06-05T06:30:00+01:00,1,4.847,Monktonhall,HV,10,0,0,,
2024-06-05T07:00:00+01:00,1,5.163,Monktonhall,HV,10,0,0,,
2024-06-05T07:30:00+01:00,1,5.515,Monktonhall,HV,10,0,0,,
2024-06-05T08:00:00+01:00,1,6.393,Monktonhall,HV,10,0,0,,
2024-06-05T08:30:00+01:00,1,6.86,Monktonhall,HV,10,0,0,,
2024-06-05T09:00:00+01:00,1,7.524,Monktonhall,HV,10,0,0,,
2024-06-05T09:30:00+01:00,1,7.965,Monktonhall,HV,10,0,0,,
2024-06-05T10:00:00+01:00,1,7.965,Monktonhall,HV,10,0,0,,
2024-06-05T10:30:00+01:00,1,8.655,Monktonhall,HV,10,0,0,,
2024-06-05T11:00:00+01:00,1,8.668,Monktonhall,HV,10,0,0,,
2024-06-05T11:30:00+01:00,1,8.799,Monktonhall,HV,10,0,0,,
2024-06-05T12:00:00+01:00,1,8.86,Monktonhall,HV,10,0,0,,
2024-06-05T12:30:00+01:00,1,8.794,Monktonhall,HV,10,0,0,,
2024-06-05T13:00:00+01:00,1,8.398,Monktonhall,HV,10,0,0,,
2024-06-05T13:30:00+01:00,1,8.205,Monktonhall,HV,10,0,0,,
2024-06-05T14:00:00+01:00,1,8.457,Monktonhall,HV,10,0,0,,
2024-06-05T14:30:00+01:00,1,8.642,Monktonhall,HV,10,0,0,,
2024-06-05T15:00:00+01:00,1,8.329,Monktonhall,HV,10,0,0,,
2024-06-05T15:30:00+01:00,1,8.316,Monktonhall,HV,10,0,0,,
2024-06-05T16:00:00+01:00,1,8.456,Monktonhall,HV,10,0,0,,
2024-06-05T16:30:00+01:00,1,8.239,Monktonhall,HV,10,0,0,,
2024-06-05T17:00:00+01:00,1,8.301,Monktonhall,HV,10,0,0,,
2024-06-05T17:30:00+01:00,1,8.534,Monktonhall,HV,10,0,0,,
2024-06-05T18:00:00+01:00,1,8.883,Monktonhall,HV,10,0,0,,
2024-06-05T18:30:00+01:00,1,9.141,Monktonhall,HV,10,0,0,,
2024-06-05T19:00:00+01:00,1,9.403,Monktonhall,HV,10,0,0,,
2024-06-05T19:30:00+01:00,1,9.309,Monktonhall,HV,10,0,0,,
2024-06-05T20:00:00+01:00,1,9.388,Monktonhall,HV,10,0,0,,
2024-06-05T20:30:00+01:00,1,9.388,Monktonhall,HV,10,0,0,,
2024-06-05T21:00:00+01:00,1,9.028,Monktonhall,HV,10,0,0,,
2024-06-05T21:30:00+01:00,1,8.714,Monktonhall,HV,10,0,0,,
2024-06-05T22:00:00+01:00,1,8.487,Monktonhall,HV,10,0,0,,
2024-06-05T22:30:00+01:00,1,8.21,Monktonhall,HV,10,0,0,,
2024-06-05T23:00:00+01:00,1,7.928,Monktonhall,HV,10,0,0,,
2024-06-05T23:30:00+01:00,1,7.456,Monktonhall,HV,10,0,0,,
2024-06-06T00:00:00+01:00,1,6.924,Monktonhall,HV,10,0,0,,
2024-06-06T00:30:00+01:00,1,6.774,Monktonhall,HV,10,0,0,,
2024-06-06T01:00:00+01:00,1,5.867,Monktonhall,HV,10,0,0,,
2024-06-06T01:30:00+01:00,1,5.867,Monktonhall,HV,10,0,0,,
2024-06-06T02:00:00+01:00,1,5.552,Monktonhall,HV,10,0,0,,
2024-06-06T02:30:00+01:00,1,5.399,Monktonhall,HV,10,0,0,,
2024-06-06T03:00:00+01:00,1,5.399,Monktonhall,HV,10,0,0,,
2024-06-06T03:30:00+01:00,1,4.966,Monktonhall,HV,10,0,0,,
2024-06-06T04:00:00+01:00,1,4.966,Monktonhall,HV,10,0,0,,
2024-06-06T04:30:00+01:00,1,4.849,Monktonhall,HV,10,0,0,,
2024-06-06T05:00:00+01:00,1,4.976,Monktonhall,HV,10,0,0,,
2024-12-30T03:30:00+00:00,0,5.59,Monktonhall,HV,10,0,0,,
2024-12-30T04:00:00+00:00,0,5.63,Monktonhall,HV,10,0,0,,
2024-12-30T04:30:00+00:00,0,5.638,Monktonhall,HV,10,0,0,,
2024-12-30T05:00:00+00:00,0,5.638,Monktonhall,HV,10,0,0,,
2024-12-30T05:30:00+00:00,0,5.542,Monktonhall,HV,10,0,0,,
2024-12-30T06:00:00+00:00,0,5.59,Monktonhall,HV,10,0,0,,
2024-12-30T06:30:00+00:00,0,5.928,Monktonhall,HV,10,0,0,,
2024-12-30T07:00:00+00:00,0,6.198,Monktonhall,HV,10,0,0,,
2024-12-30T07:30:00+00:00,0,6.517,Monktonhall,HV,10,0,0,,
2024-12-30T08:00:00+00:00,0,6.972,Monktonhall,HV,10,0,0,,
2024-12-30T08:30:00+00:00,0,7.469,Monktonhall,HV,10,0,0,,
2024-12-30T09:00:00+00:00,0,7.97,Monktonhall,HV,10,0,0,,
2024-12-30T09:30:00+00:00,0,8.431,Monktonhall,HV,10,0,0,,
2024-12-30T10:00:00+00:00,0,8.726,Monktonhall,HV,10,0,0,,
2024-12-30T10:30:00+00:00,0,8.876,Monktonhall,HV,10,0,0,,
2024-12-30T11:00:00+00:00,0,8.9,Monktonhall,HV,10,0,0,,
2024-12-30T11:30:00+00:00,0,9.15,Monktonhall,HV,10,0,0,,
2024-12-30T12:00:00+00:00,0,9.397,Monktonhall,HV,10,0,0,,
2024-12-30T12:30:00+00:00,0,9.43,Monktonhall,HV,10,0,0,,
2024-12-30T13:00:00+00:00,0,9.711,Monktonhall,HV,10,0,0,,
2024-12-30T13:30:00+00:00,0,9.731,Monktonhall,HV,10,0,0,,
2024-12-30T14:00:00+00:00,0,9.71,Monktonhall,HV,10,0,0,,
2024-12-30T14:30:00+00:00,0,9.665,Monktonhall,HV,10,0,0,,
2024-12-30T15:00:00+00:00,0,9.571,Monktonhall,HV,10,0,0,,
2024-12-30T15:30:00+00:00,0,9.725,Monktonhall,HV,10,0,0,,
2024-12-30T16:00:00+00:00,0,9.929,Monktonhall,HV,10,0,0,,
2024-12-30T16:30:00+00:00,0,10.43,Monktonhall,HV,10,-0.43,-0.215,,
2024-12-30T17:00:00+00:00,0,10.707,Monktonhall,HV,10,-0.707,-0.3535,,
2024-12-30T17:30:00+00:00,0,10.758,Monktonhall,HV,10,-0.758,-0.379,,
2024-12-30T18:00:00+00:00,0,11.206,Monktonhall,HV,10,-1.206,-0.603,,
2024-12-30T18:30:00+00:00,0,11.38,Monktonhall,HV,10,-1.38,-0.69,,
2024-12-30T19:00:00+00:00,0,11.029,Monktonhall,HV,10,-1.029,-0.5145,,
2024-12-30T19:30:00+00:00,0,10.676,Monktonhall,HV,10,-0.676,-0.338,,
2024-12-30T20:00:00+00:00,0,10.375,Monktonhall,HV,10,-0.375,-0.1875,,
2024-12-30T20:30:00+00:00,0,10.217,Monktonhall,HV,10,-0.217,-0.1085,,
2024-12-30T21:00:00+00:00,0,9.604,Monktonhall,HV,10,0,0,,
2024-12-30T21:30:00+00:00,0,9.233,Monktonhall,HV,10,0,0,,
2024-12-30T22:00:00+00:00,0,8.807,Monktonhall,HV,10,0,0,,
2024-12-30T22:30:00+00:00,0,8.275,Monktonhall,HV,10,0,0,,
2024-12-30T23:00:00+00:00,0,8.064,Monktonhall,HV,10,0,0,,
2024-12-30T23:30:00+00:00,0,7.558,Monktonhall,HV,10,0,0,,
2024-12-31T00:00:00+00:00,0,7.392,Monktonhall,HV,10,0,0,,
2024-12-31T00:30:00+00:00,0,7.221,Monktonhall,HV,10,0,0,,
2024-12-31T01:00:00+00:00,0,6.978,Monktonhall,HV,10,0,0,,
2024-12-31T01:30:00+00:00,0,6.838,Monktonhall,HV,10,0,0,,
2024-12-31T02:00:00+00:00,0,6.467,Monktonhall,HV,10,0,0,,
2024-12-31T02:30:00+00:00,0,6.363,Monktonhall,HV,10,0,0,,
